date,from,relation,to,weight
2026-01-28,Generator(Prompt-only),has_risk_signal,hallucination,6
2026-01-28,Generator(Prompt-only),uses_feature,action_items,5
2026-01-28,Generator(Prompt-only),uses_feature,meeting_memory,4
2026-01-28,Agent,has_risk_signal,cost_explosion,2
2026-01-28,Generator(Prompt-only),has_risk_signal,cost_explosion,2
2026-01-28,case_46705212,has_pattern,Agent,1
2026-01-28,Agent,uses_feature,structured_output,1
2026-01-28,case_46705212,mentions_feature,structured_output,1
2026-01-28,Agent,uses_feature,meeting_memory,1
2026-01-28,case_46705212,mentions_feature,meeting_memory,1
2026-01-28,case_46705212,mentions_risk,cost_explosion,1
2026-01-28,case_46528245,has_pattern,Generator(Prompt-only),1
2026-01-28,case_46493969,has_pattern,Generator(Prompt-only),1
2026-01-28,Generator(Prompt-only),uses_feature,multilingual,1
2026-01-28,case_46493969,mentions_feature,multilingual,1
2026-01-28,case_46353596,has_pattern,Generator(Prompt-only),1
2026-01-28,case_46297830,has_pattern,Agent,1
2026-01-28,Agent,uses_feature,speaker_labels,1
2026-01-28,case_46297830,mentions_feature,speaker_labels,1
2026-01-28,case_46297830,mentions_risk,cost_explosion,1
2026-01-28,case_45929247,has_pattern,Generator(Prompt-only),1
2026-01-28,case_45929247,mentions_feature,action_items,1
2026-01-28,case_45929247,mentions_risk,hallucination,1
2026-01-28,case_45348151,has_pattern,Generator(Prompt-only),1
2026-01-28,case_44271745,has_pattern,Generator(Prompt-only),1
2026-01-28,case_44200037,has_pattern,Generator(Prompt-only),1
2026-01-28,case_44148559,has_pattern,Generator(Prompt-only),1
2026-01-28,case_43741559,has_pattern,Generator(Prompt-only),1
2026-01-28,case_39006262,has_pattern,Generator(Prompt-only),1
2026-01-28,case_38446289,has_pattern,Generator(Prompt-only),1
2026-01-28,case_35549526,has_pattern,Generator(Prompt-only),1
2026-01-28,case_35547859,has_pattern,Generator(Prompt-only),1
2026-01-28,case_35547859,mentions_feature,action_items,1
2026-01-28,case_35439454,has_pattern,Generator(Prompt-only),1
2026-01-28,case_34732840,has_pattern,Generator(Prompt-only),1
2026-01-28,case_34613598,has_pattern,Generator(Prompt-only),1
2026-01-28,case_34613598,mentions_feature,action_items,1
2026-01-28,case_34613598,mentions_feature,meeting_memory,1
2026-01-28,case_34613598,mentions_risk,hallucination,1
2026-01-28,case_34425801,has_pattern,Generator(Prompt-only),1
2026-01-28,case_34148357,has_pattern,Generator(Prompt-only),1
2026-01-28,case_33719870,has_pattern,Generator(Prompt-only),1
2026-01-28,case_31768298,has_pattern,Generator(Prompt-only),1
2026-01-28,case_31768298,mentions_risk,hallucination,1
2026-01-28,case_27882350,has_pattern,Agent,1
2026-01-28,Agent,uses_feature,multilingual,1
2026-01-28,case_27882350,mentions_feature,multilingual,1
2026-01-28,case_24547098,has_pattern,Generator(Prompt-only),1
2026-01-28,case_24547098,mentions_feature,action_items,1
2026-01-28,Generator(Prompt-only),uses_feature,pii_redaction,1
2026-01-28,case_24547098,mentions_feature,pii_redaction,1
2026-01-28,case_24547098,mentions_feature,meeting_memory,1
2026-01-28,case_24547098,mentions_risk,cost_explosion,1
2026-01-28,Generator(Prompt-only),has_risk_signal,privacy,1
2026-01-28,case_24547098,mentions_risk,privacy,1
2026-01-28,case_17420399,has_pattern,Generator(Prompt-only),1
2026-01-28,case_17420399,mentions_risk,cost_explosion,1
2026-01-28,case_13986828,has_pattern,Generator(Prompt-only),1
2026-01-28,case_13986828,mentions_feature,action_items,1
2026-01-28,Generator(Prompt-only),uses_feature,hallucination_guard,1
2026-01-28,case_13986828,mentions_feature,hallucination_guard,1
2026-01-28,case_13986828,mentions_feature,meeting_memory,1
2026-01-28,case_13986828,mentions_risk,hallucination,1
2026-01-28,case_13493311,has_pattern,Generator(Prompt-only),1
2026-01-28,case_12983331,has_pattern,Generator(Prompt-only),1
2026-01-28,Generator(Prompt-only),uses_feature,structured_output,1
2026-01-28,case_12983331,mentions_feature,structured_output,1
2026-01-28,case_8958059,has_pattern,Generator(Prompt-only),1
2026-01-28,case_8958059,mentions_feature,meeting_memory,1
2026-01-28,Generator(Prompt-only),has_risk_signal,latency,1
2026-01-28,case_8958059,mentions_risk,latency,1
2026-01-28,case_8958059,mentions_risk,hallucination,1
2026-01-28,case_327937,has_pattern,Generator(Prompt-only),1
2026-01-28,Generator(Prompt-only),uses_feature,speaker_labels,1
2026-01-28,case_327937,mentions_feature,speaker_labels,1
2026-01-28,case_327937,mentions_risk,hallucination,1
